Analysis for Model: EXAONE-4.0-32B-Base
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 14         | 8          | 0.5714
2    | 11         | 9          | 0.8182
3    | 14         | 11         | 0.7857
4    | 11         | 9          | 0.8182
5    | 12         | 5          | 0.4167
6    | 10         | 6          | 0.6000
7    | 12         | 10         | 0.8333
8    | 16         | 14         | 0.8750
9    | 9          | 9          | 1.0000
10   | 10         | 5          | 0.5000
11   | 11         | 7          | 0.6364
12   | 11         | 10         | 0.9091
13   | 13         | 10         | 0.7692
14   | 13         | 11         | 0.8462
15   | 13         | 10         | 0.7692
16   | 15         | 12         | 0.8000
17   | 11         | 7          | 0.6364
18   | 10         | 9          | 0.9000
19   | 15         | 11         | 0.7333
20   | 10         | 6          | 0.6000
21   | 15         | 13         | 0.8667
22   | 14         | 8          | 0.5714
23   | 15         | 12         | 0.8000
24   | 14         | 7          | 0.5000
25   | 14         | 11         | 0.7857
26   | 8          | 4          | 0.5000
27   | 10         | 8          | 0.8000
28   | 12         | 9          | 0.7500
29   | 11         | 9          | 0.8182
30   | 15         | 12         | 0.8000
31   | 10         | 8          | 0.8000
32   | 12         | 10         | 0.8333
33   | 13         | 9          | 0.6923
34   | 14         | 10         | 0.7143
35   | 11         | 5          | 0.4545
36   | 11         | 7          | 0.6364
37   | 10         | 9          | 0.9000
38   | 15         | 11         | 0.7333
39   | 14         | 10         | 0.7143
40   | 13         | 10         | 0.7692
41   | 9          | 7          | 0.7778
42   | 18         | 10         | 0.5556
43   | 12         | 10         | 0.8333
44   | 12         | 7          | 0.5833
45   | 19         | 17         | 0.8947
46   | 15         | 13         | 0.8667
47   | 13         | 8          | 0.6154
48   | 12         | 8          | 0.6667
49   | 10         | 7          | 0.7000
50   | 14         | 8          | 0.5714
51   | 16         | 15         | 0.9375
52   | 13         | 13         | 1.0000
53   | 17         | 8          | 0.4706
54   | 10         | 4          | 0.4000
55   | 9          | 7          | 0.7778
56   | 14         | 11         | 0.7857
57   | 11         | 9          | 0.8182
58   | 15         | 12         | 0.8000
59   | 10         | 10         | 1.0000
60   | 15         | 12         | 0.8000
61   | 9          | 9          | 1.0000
62   | 14         | 6          | 0.4286
63   | 18         | 9          | 0.5000
64   | 10         | 10         | 1.0000
65   | 10         | 7          | 0.7000
66   | 11         | 11         | 1.0000
67   | 19         | 10         | 0.5263
68   | 6          | 6          | 1.0000
69   | 11         | 7          | 0.6364
70   | 10         | 8          | 0.8000
71   | 14         | 10         | 0.7143
72   | 15         | 7          | 0.4667
73   | 13         | 10         | 0.7692
74   | 9          | 7          | 0.7778
75   | 10         | 9          | 0.9000
76   | 12         | 11         | 0.9167
77   | 9          | 8          | 0.8889
78   | 6          | 6          | 1.0000
79   | 13         | 8          | 0.6154
80   | 13         | 7          | 0.5385
81   | 8          | 7          | 0.8750
82   | 14         | 10         | 0.7143
83   | 11         | 9          | 0.8182
84   | 12         | 9          | 0.7500
85   | 14         | 13         | 0.9286
86   | 12         | 12         | 1.0000
87   | 13         | 11         | 0.8462
88   | 11         | 8          | 0.7273
89   | 12         | 7          | 0.5833
90   | 14         | 14         | 1.0000
91   | 9          | 8          | 0.8889
92   | 11         | 9          | 0.8182
93   | 14         | 8          | 0.5714
94   | 10         | 8          | 0.8000
95   | 12         | 9          | 0.7500
96   | 6          | 6          | 1.0000
97   | 20         | 16         | 0.8000
98   | 14         | 10         | 0.7143
99   | 11         | 9          | 0.8182
100  | 11         | 10         | 0.9091

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.7560
========================================
