Analysis for Model: Qwen3-32B
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 16         | 9          | 0.5625
2    | 11         | 7          | 0.6364
3    | 16         | 13         | 0.8125
4    | 17         | 10         | 0.5882
5    | 13         | 12         | 0.9231
6    | 12         | 10         | 0.8333
7    | 14         | 13         | 0.9286
8    | 15         | 12         | 0.8000
9    | 11         | 9          | 0.8182
10   | 12         | 12         | 1.0000
11   | 17         | 12         | 0.7059
12   | 18         | 11         | 0.6111
13   | 12         | 9          | 0.7500
14   | 15         | 10         | 0.6667
15   | 18         | 15         | 0.8333
16   | 18         | 13         | 0.7222
17   | 14         | 13         | 0.9286
18   | 10         | 9          | 0.9000
19   | 17         | 12         | 0.7059
20   | 12         | 11         | 0.9167
21   | 12         | 11         | 0.9167
22   | 17         | 13         | 0.7647
23   | 18         | 16         | 0.8889
24   | 14         | 12         | 0.8571
25   | 12         | 11         | 0.9167
26   | 11         | 9          | 0.8182
27   | 15         | 9          | 0.6000
28   | 15         | 11         | 0.7333
29   | 13         | 8          | 0.6154
30   | 18         | 16         | 0.8889
31   | 12         | 8          | 0.6667
32   | 19         | 14         | 0.7368
33   | 13         | 12         | 0.9231
34   | 15         | 15         | 1.0000
35   | 12         | 10         | 0.8333
36   | 13         | 11         | 0.8462
37   | 9          | 7          | 0.7778
38   | 19         | 15         | 0.7895
39   | 16         | 15         | 0.9375
40   | 14         | 13         | 0.9286
41   | 14         | 9          | 0.6429
42   | 19         | 18         | 0.9474
43   | 15         | 13         | 0.8667
44   | 18         | 10         | 0.5556
45   | 23         | 15         | 0.6522
46   | 15         | 15         | 1.0000
47   | 16         | 11         | 0.6875
48   | 14         | 11         | 0.7857
49   | 12         | 9          | 0.7500
50   | 16         | 14         | 0.8750
51   | 21         | 15         | 0.7143
52   | 19         | 13         | 0.6842
53   | 17         | 13         | 0.7647
54   | 11         | 10         | 0.9091
55   | 12         | 10         | 0.8333
56   | 21         | 13         | 0.6190
57   | 14         | 13         | 0.9286
58   | 13         | 12         | 0.9231
59   | 12         | 10         | 0.8333
60   | 21         | 17         | 0.8095
61   | 8          | 7          | 0.8750
62   | 17         | 15         | 0.8824
63   | 18         | 16         | 0.8889
64   | 14         | 10         | 0.7143
65   | 11         | 9          | 0.8182
66   | 13         | 12         | 0.9231
67   | 20         | 16         | 0.8000
68   | 10         | 8          | 0.8000
69   | 14         | 13         | 0.9286
70   | 17         | 13         | 0.7647
71   | 11         | 8          | 0.7273
72   | 20         | 16         | 0.8000
73   | 16         | 15         | 0.9375
74   | 12         | 10         | 0.8333
75   | 16         | 8          | 0.5000
76   | 13         | 10         | 0.7692
77   | 12         | 8          | 0.6667
78   | 7          | 6          | 0.8571
79   | 14         | 11         | 0.7857
80   | 19         | 15         | 0.7895
81   | 7          | 6          | 0.8571
82   | 15         | 11         | 0.7333
83   | 13         | 9          | 0.6923
84   | 15         | 13         | 0.8667
85   | 20         | 11         | 0.5500
86   | 17         | 10         | 0.5882
87   | 14         | 10         | 0.7143
88   | 14         | 12         | 0.8571
89   | 14         | 13         | 0.9286
90   | 13         | 9          | 0.6923
91   | 11         | 6          | 0.5455
92   | 17         | 10         | 0.5882
93   | 18         | 13         | 0.7222
94   | 12         | 11         | 0.9167
95   | 16         | 14         | 0.8750
96   | 6          | 6          | 1.0000
97   | 19         | 17         | 0.8947
98   | 17         | 16         | 0.9412
99   | 15         | 8          | 0.5333
100  | 17         | 15         | 0.8824

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.7930
========================================
