Analysis for Model: Falcon-H1-3B-Instruct
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 15         | 0          | 0.0000
2    | 8          | 3          | 0.3750
3    | 13         | 2          | 0.1538
4    | 11         | 2          | 0.1818
5    | 9          | 2          | 0.2222
6    | 4          | 0          | 0.0000
7    | 12         | 7          | 0.5833
8    | 12         | 1          | 0.0833
9    | 13         | 2          | 0.1538
10   | 10         | 0          | 0.0000
11   | 5          | 0          | 0.0000
12   | 11         | 4          | 0.3636
13   | 7          | 0          | 0.0000
14   | 12         | 6          | 0.5000
15   | 16         | 1          | 0.0625
16   | 15         | 1          | 0.0667
17   | 12         | 1          | 0.0833
18   | 11         | 3          | 0.2727
19   | 15         | 1          | 0.0667
20   | 7          | 0          | 0.0000
21   | 19         | 1          | 0.0526
22   | 13         | 2          | 0.1538
23   | 16         | 4          | 0.2500
24   | 17         | 7          | 0.4118
25   | 12         | 6          | 0.5000
26   | 14         | 5          | 0.3571
27   | 5          | 0          | 0.0000
28   | 8          | 4          | 0.5000
29   | 11         | 2          | 0.1818
30   | 12         | 0          | 0.0000
31   | 8          | 0          | 0.0000
32   | 15         | 1          | 0.0667
33   | 10         | 2          | 0.2000
34   | 15         | 3          | 0.2000
35   | 5          | 0          | 0.0000
36   | 11         | 1          | 0.0909
37   | 9          | 1          | 0.1111
38   | 18         | 4          | 0.2222
39   | 13         | 1          | 0.0769
40   | 11         | 1          | 0.0909
41   | 7          | 0          | 0.0000
42   | 18         | 6          | 0.3333
43   | 15         | 7          | 0.4667
44   | 9          | 2          | 0.2222
45   | 19         | 0          | 0.0000
46   | 14         | 0          | 0.0000
47   | 8          | 0          | 0.0000
48   | 9          | 3          | 0.3333
49   | 10         | 1          | 0.1000
50   | 9          | 0          | 0.0000
51   | 19         | 1          | 0.0526
52   | 14         | 1          | 0.0714
53   | 21         | 1          | 0.0476
54   | 10         | 0          | 0.0000
55   | 13         | 0          | 0.0000
56   | 13         | 1          | 0.0769
57   | 9          | 0          | 0.0000
58   | 13         | 0          | 0.0000
59   | 14         | 2          | 0.1429
60   | 15         | 1          | 0.0667
61   | 6          | 1          | 0.1667
62   | 19         | 4          | 0.2105
63   | 17         | 6          | 0.3529
64   | 9          | 5          | 0.5556
65   | 3          | 0          | 0.0000
66   | 11         | 0          | 0.0000
67   | 18         | 8          | 0.4444
68   | 9          | 0          | 0.0000
69   | 9          | 0          | 0.0000
70   | 15         | 0          | 0.0000
71   | 11         | 3          | 0.2727
72   | 14         | 1          | 0.0714
73   | 15         | 5          | 0.3333
74   | 13         | 5          | 0.3846
75   | 11         | 0          | 0.0000
76   | 11         | 0          | 0.0000
77   | 9          | 1          | 0.1111
78   | 8          | 1          | 0.1250
79   | 9          | 0          | 0.0000
80   | 15         | 4          | 0.2667
81   | 3          | 1          | 0.3333
82   | 14         | 1          | 0.0714
83   | 9          | 0          | 0.0000
84   | 11         | 2          | 0.1818
85   | 14         | 2          | 0.1429
86   | 12         | 0          | 0.0000
87   | 6          | 2          | 0.3333
88   | 10         | 0          | 0.0000
89   | 12         | 3          | 0.2500
90   | 15         | 2          | 0.1333
91   | 9          | 1          | 0.1111
92   | 11         | 1          | 0.0909
93   | 12         | 1          | 0.0833
94   | 10         | 2          | 0.2000
95   | 14         | 2          | 0.1429
96   | 6          | 0          | 0.0000
97   | 17         | 5          | 0.2941
98   | 15         | 2          | 0.1333
99   | 15         | 2          | 0.1333
100  | 14         | 1          | 0.0714

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.1455
========================================
