Analysis for Model: Gemma-3-4B-Instruct
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 15         | 0          | 0.0000
2    | 10         | 0          | 0.0000
3    | 15         | 0          | 0.0000
4    | 11         | 0          | 0.0000
5    | 12         | 0          | 0.0000
6    | 10         | 0          | 0.0000
7    | 15         | 0          | 0.0000
8    | 16         | 0          | 0.0000
9    | 11         | 0          | 0.0000
10   | 13         | 1          | 0.0769
11   | 12         | 0          | 0.0000
12   | 16         | 0          | 0.0000
13   | 13         | 0          | 0.0000
14   | 16         | 0          | 0.0000
15   | 15         | 0          | 0.0000
16   | 15         | 0          | 0.0000
17   | 12         | 0          | 0.0000
18   | 12         | 0          | 0.0000
19   | 15         | 0          | 0.0000
20   | 9          | 0          | 0.0000
21   | 15         | 0          | 0.0000
22   | 17         | 0          | 0.0000
23   | 15         | 0          | 0.0000
24   | 14         | 0          | 0.0000
25   | 12         | 0          | 0.0000
26   | 12         | 0          | 0.0000
27   | 10         | 0          | 0.0000
28   | 14         | 0          | 0.0000
29   | 13         | 0          | 0.0000
30   | 16         | 0          | 0.0000
31   | 13         | 0          | 0.0000
32   | 12         | 0          | 0.0000
33   | 13         | 0          | 0.0000
34   | 16         | 0          | 0.0000
35   | 10         | 0          | 0.0000
36   | 11         | 0          | 0.0000
37   | 10         | 0          | 0.0000
38   | 19         | 1          | 0.0526
39   | 15         | 0          | 0.0000
40   | 13         | 0          | 0.0000
41   | 15         | 0          | 0.0000
42   | 19         | 0          | 0.0000
43   | 15         | 0          | 0.0000
44   | 15         | 0          | 0.0000
45   | 19         | 0          | 0.0000
46   | 19         | 0          | 0.0000
47   | 13         | 0          | 0.0000
48   | 12         | 0          | 0.0000
49   | 10         | 0          | 0.0000
50   | 15         | 0          | 0.0000
51   | 17         | 0          | 0.0000
52   | 12         | 0          | 0.0000
53   | 17         | 0          | 0.0000
54   | 12         | 0          | 0.0000
55   | 13         | 0          | 0.0000
56   | 16         | 0          | 0.0000
57   | 15         | 0          | 0.0000
58   | 15         | 0          | 0.0000
59   | 12         | 0          | 0.0000
60   | 18         | 0          | 0.0000
61   | 9          | 0          | 0.0000
62   | 18         | 0          | 0.0000
63   | 18         | 0          | 0.0000
64   | 13         | 0          | 0.0000
65   | 10         | 0          | 0.0000
66   | 14         | 0          | 0.0000
67   | 19         | 0          | 0.0000
68   | 8          | 0          | 0.0000
69   | 14         | 0          | 0.0000
70   | 15         | 0          | 0.0000
71   | 13         | 0          | 0.0000
72   | 15         | 0          | 0.0000
73   | 14         | 0          | 0.0000
74   | 10         | 0          | 0.0000
75   | 12         | 1          | 0.0833
76   | 13         | 0          | 0.0000
77   | 11         | 0          | 0.0000
78   | 8          | 0          | 0.0000
79   | 14         | 0          | 0.0000
80   | 20         | 0          | 0.0000
81   | 7          | 0          | 0.0000
82   | 14         | 0          | 0.0000
83   | 11         | 0          | 0.0000
84   | 13         | 0          | 0.0000
85   | 14         | 0          | 0.0000
86   | 14         | 0          | 0.0000
87   | 12         | 0          | 0.0000
88   | 11         | 0          | 0.0000
89   | 14         | 0          | 0.0000
90   | 13         | 0          | 0.0000
91   | 10         | 0          | 0.0000
92   | 12         | 0          | 0.0000
93   | 15         | 0          | 0.0000
94   | 14         | 0          | 0.0000
95   | 13         | 0          | 0.0000
96   | 9          | 0          | 0.0000
97   | 20         | 0          | 0.0000
98   | 18         | 0          | 0.0000
99   | 12         | 1          | 0.0833
100  | 16         | 0          | 0.0000

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.0030
========================================
