Analysis for Model: Llama-3.2-3B-Instruct
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 6          | 6          | 1.0000
2    | 2          | 2          | 1.0000
3    | 0          | 0          | 0.0000
4    | 5          | 5          | 1.0000
5    | 7          | 7          | 1.0000
6    | 6          | 4          | 0.6667
7    | 3          | 2          | 0.6667
8    | 2          | 2          | 1.0000
9    | 4          | 4          | 1.0000
10   | 0          | 0          | 0.0000
11   | 2          | 2          | 1.0000
12   | 8          | 5          | 0.6250
13   | 7          | 6          | 0.8571
14   | 6          | 6          | 1.0000
15   | 9          | 8          | 0.8889
16   | 3          | 2          | 0.6667
17   | 0          | 0          | 0.0000
18   | 1          | 1          | 1.0000
19   | 7          | 2          | 0.2857
20   | 6          | 6          | 1.0000
21   | 0          | 0          | 0.0000
22   | 8          | 5          | 0.6250
23   | 10         | 10         | 1.0000
24   | 4          | 3          | 0.7500
25   | 3          | 3          | 1.0000
26   | 2          | 2          | 1.0000
27   | 1          | 1          | 1.0000
28   | 3          | 3          | 1.0000
29   | 4          | 4          | 1.0000
30   | 9          | 6          | 0.6667
31   | 3          | 3          | 1.0000
32   | 2          | 2          | 1.0000
33   | 6          | 6          | 1.0000
34   | 5          | 1          | 0.2000
35   | 6          | 5          | 0.8333
36   | 6          | 2          | 0.3333
37   | 4          | 3          | 0.7500
38   | 12         | 9          | 0.7500
39   | 5          | 4          | 0.8000
40   | 6          | 5          | 0.8333
41   | 3          | 3          | 1.0000
42   | 10         | 7          | 0.7000
43   | 0          | 0          | 0.0000
44   | 4          | 2          | 0.5000
45   | 0          | 0          | 0.0000
46   | 9          | 9          | 1.0000
47   | 5          | 3          | 0.6000
48   | 4          | 4          | 1.0000
49   | 1          | 1          | 1.0000
50   | 12         | 12         | 1.0000
51   | 2          | 2          | 1.0000
52   | 6          | 6          | 1.0000
53   | 5          | 4          | 0.8000
54   | 0          | 0          | 0.0000
55   | 4          | 4          | 1.0000
56   | 6          | 3          | 0.5000
57   | 9          | 8          | 0.8889
58   | 6          | 5          | 0.8333
59   | 3          | 3          | 1.0000
60   | 4          | 3          | 0.7500
61   | 1          | 1          | 1.0000
62   | 4          | 3          | 0.7500
63   | 11         | 8          | 0.7273
64   | 5          | 4          | 0.8000
65   | 1          | 1          | 1.0000
66   | 7          | 3          | 0.4286
67   | 10         | 10         | 1.0000
68   | 0          | 0          | 0.0000
69   | 5          | 5          | 1.0000
70   | 0          | 0          | 0.0000
71   | 2          | 1          | 0.5000
72   | 5          | 2          | 0.4000
73   | 9          | 7          | 0.7778
74   | 3          | 3          | 1.0000
75   | 4          | 4          | 1.0000
76   | 5          | 1          | 0.2000
77   | 1          | 1          | 1.0000
78   | 5          | 4          | 0.8000
79   | 4          | 4          | 1.0000
80   | 5          | 4          | 0.8000
81   | 2          | 2          | 1.0000
82   | 9          | 4          | 0.4444
83   | 4          | 4          | 1.0000
84   | 8          | 6          | 0.7500
85   | 4          | 4          | 1.0000
86   | 8          | 8          | 1.0000
87   | 5          | 4          | 0.8000
88   | 5          | 5          | 1.0000
89   | 3          | 1          | 0.3333
90   | 4          | 4          | 1.0000
91   | 8          | 8          | 1.0000
92   | 5          | 5          | 1.0000
93   | 6          | 4          | 0.6667
94   | 6          | 5          | 0.8333
95   | 8          | 6          | 0.7500
96   | 5          | 4          | 0.8000
97   | 7          | 5          | 0.7143
98   | 11         | 10         | 0.9091
99   | 4          | 3          | 0.7500
100  | 0          | 0          | 0.0000

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.7471
========================================
