Analysis for Model: Qwen3-4B
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 6          | 0          | 0.0000
2    | 0          | 0          | 0.0000
3    | 0          | 0          | 0.0000
4    | 3          | 0          | 0.0000
5    | 3          | 0          | 0.0000
6    | 2          | 0          | 0.0000
7    | 2          | 0          | 0.0000
8    | 3          | 0          | 0.0000
9    | 4          | 0          | 0.0000
10   | 0          | 0          | 0.0000
11   | 0          | 0          | 0.0000
12   | 3          | 1          | 0.3333
13   | 2          | 0          | 0.0000
14   | 4          | 1          | 0.2500
15   | 6          | 0          | 0.0000
16   | 2          | 0          | 0.0000
17   | 0          | 0          | 0.0000
18   | 0          | 0          | 0.0000
19   | 1          | 0          | 0.0000
20   | 0          | 0          | 0.0000
21   | 1          | 0          | 0.0000
22   | 5          | 0          | 0.0000
23   | 1          | 0          | 0.0000
24   | 5          | 0          | 0.0000
25   | 5          | 0          | 0.0000
26   | 1          | 0          | 0.0000
27   | 0          | 0          | 0.0000
28   | 4          | 0          | 0.0000
29   | 3          | 0          | 0.0000
30   | 1          | 0          | 0.0000
31   | 3          | 0          | 0.0000
32   | 4          | 0          | 0.0000
33   | 0          | 0          | 0.0000
34   | 0          | 0          | 0.0000
35   | 2          | 1          | 0.5000
36   | 0          | 0          | 0.0000
37   | 0          | 0          | 0.0000
38   | 1          | 0          | 0.0000
39   | 0          | 0          | 0.0000
40   | 10         | 0          | 0.0000
41   | 2          | 0          | 0.0000
42   | 6          | 0          | 0.0000
43   | 0          | 0          | 0.0000
44   | 7          | 0          | 0.0000
45   | 12         | 0          | 0.0000
46   | 4          | 1          | 0.2500
47   | 0          | 0          | 0.0000
48   | 0          | 0          | 0.0000
49   | 4          | 0          | 0.0000
50   | 4          | 3          | 0.7500
51   | 0          | 0          | 0.0000
52   | 1          | 0          | 0.0000
53   | 0          | 0          | 0.0000
54   | 0          | 0          | 0.0000
55   | 1          | 0          | 0.0000
56   | 1          | 0          | 0.0000
57   | 1          | 0          | 0.0000
58   | 4          | 0          | 0.0000
59   | 4          | 0          | 0.0000
60   | 3          | 0          | 0.0000
61   | 0          | 0          | 0.0000
62   | 5          | 0          | 0.0000
63   | 1          | 0          | 0.0000
64   | 3          | 1          | 0.3333
65   | 4          | 0          | 0.0000
66   | 0          | 0          | 0.0000
67   | 9          | 2          | 0.2222
68   | 0          | 0          | 0.0000
69   | 2          | 0          | 0.0000
70   | 0          | 0          | 0.0000
71   | 0          | 0          | 0.0000
72   | 4          | 0          | 0.0000
73   | 1          | 0          | 0.0000
74   | 2          | 0          | 0.0000
75   | 2          | 0          | 0.0000
76   | 1          | 0          | 0.0000
77   | 0          | 0          | 0.0000
78   | 4          | 0          | 0.0000
79   | 3          | 0          | 0.0000
80   | 1          | 0          | 0.0000
81   | 2          | 0          | 0.0000
82   | 1          | 0          | 0.0000
83   | 0          | 0          | 0.0000
84   | 3          | 0          | 0.0000
85   | 4          | 3          | 0.7500
86   | 1          | 0          | 0.0000
87   | 6          | 0          | 0.0000
88   | 1          | 0          | 0.0000
89   | 2          | 0          | 0.0000
90   | 4          | 0          | 0.0000
91   | 0          | 0          | 0.0000
92   | 5          | 0          | 0.0000
93   | 5          | 0          | 0.0000
94   | 3          | 0          | 0.0000
95   | 2          | 0          | 0.0000
96   | 1          | 0          | 0.0000
97   | 0          | 0          | 0.0000
98   | 0          | 0          | 0.0000
99   | 3          | 1          | 0.3333
100  | 0          | 0          | 0.0000

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.0372
========================================
