Analysis for Model: DeepSeek-R1-Distill-Qwen-14B
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 20         | 12         | 0.6000
2    | 12         | 4          | 0.3333
3    | 18         | 12         | 0.6667
4    | 15         | 9          | 0.6000
5    | 15         | 11         | 0.7333
6    | 10         | 7          | 0.7000
7    | 12         | 9          | 0.7500
8    | 14         | 12         | 0.8571
9    | 12         | 8          | 0.6667
10   | 15         | 6          | 0.4000
11   | 16         | 10         | 0.6250
12   | 15         | 12         | 0.8000
13   | 12         | 11         | 0.9167
14   | 16         | 9          | 0.5625
15   | 18         | 12         | 0.6667
16   | 17         | 13         | 0.7647
17   | 14         | 11         | 0.7857
18   | 11         | 7          | 0.6364
19   | 19         | 9          | 0.4737
20   | 16         | 7          | 0.4375
21   | 17         | 13         | 0.7647
22   | 11         | 10         | 0.9091
23   | 13         | 10         | 0.7692
24   | 16         | 12         | 0.7500
25   | 17         | 11         | 0.6471
26   | 11         | 9          | 0.8182
27   | 15         | 13         | 0.8667
28   | 16         | 12         | 0.7500
29   | 17         | 6          | 0.3529
30   | 18         | 14         | 0.7778
31   | 7          | 4          | 0.5714
32   | 17         | 8          | 0.4706
33   | 11         | 9          | 0.8182
34   | 19         | 12         | 0.6316
35   | 16         | 8          | 0.5000
36   | 14         | 7          | 0.5000
37   | 17         | 10         | 0.5882
38   | 18         | 8          | 0.4444
39   | 9          | 8          | 0.8889
40   | 17         | 11         | 0.6471
41   | 9          | 4          | 0.4444
42   | 18         | 15         | 0.8333
43   | 9          | 5          | 0.5556
44   | 17         | 14         | 0.8235
45   | 17         | 12         | 0.7059
46   | 21         | 10         | 0.4762
47   | 13         | 9          | 0.6923
48   | 15         | 9          | 0.6000
49   | 12         | 10         | 0.8333
50   | 20         | 5          | 0.2500
51   | 17         | 4          | 0.2353
52   | 12         | 3          | 0.2500
53   | 16         | 14         | 0.8750
54   | 7          | 2          | 0.2857
55   | 13         | 6          | 0.4615
56   | 18         | 11         | 0.6111
57   | 15         | 7          | 0.4667
58   | 13         | 10         | 0.7692
59   | 14         | 8          | 0.5714
60   | 15         | 9          | 0.6000
61   | 14         | 8          | 0.5714
62   | 13         | 8          | 0.6154
63   | 21         | 15         | 0.7143
64   | 9          | 6          | 0.6667
65   | 14         | 11         | 0.7857
66   | 14         | 11         | 0.7857
67   | 15         | 10         | 0.6667
68   | 14         | 6          | 0.4286
69   | 12         | 7          | 0.5833
70   | 23         | 8          | 0.3478
71   | 18         | 10         | 0.5556
72   | 17         | 11         | 0.6471
73   | 12         | 12         | 1.0000
74   | 12         | 11         | 0.9167
75   | 17         | 8          | 0.4706
76   | 14         | 8          | 0.5714
77   | 10         | 8          | 0.8000
78   | 9          | 5          | 0.5556
79   | 15         | 14         | 0.9333
80   | 23         | 19         | 0.8261
81   | 10         | 8          | 0.8000
82   | 13         | 11         | 0.8462
83   | 16         | 12         | 0.7500
84   | 12         | 10         | 0.8333
85   | 20         | 11         | 0.5500
86   | 9          | 3          | 0.3333
87   | 18         | 10         | 0.5556
88   | 12         | 10         | 0.8333
89   | 17         | 12         | 0.7059
90   | 14         | 8          | 0.5714
91   | 13         | 6          | 0.4615
92   | 17         | 9          | 0.5294
93   | 14         | 11         | 0.7857
94   | 12         | 5          | 0.4167
95   | 12         | 10         | 0.8333
96   | 6          | 3          | 0.5000
97   | 14         | 8          | 0.5714
98   | 22         | 10         | 0.4545
99   | 15         | 7          | 0.4667
100  | 20         | 7          | 0.3500

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.6337
========================================
