Analysis for Model: Gemma-3-12B-Instruct
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 16         | 13         | 0.8125
2    | 14         | 6          | 0.4286
3    | 23         | 10         | 0.4348
4    | 20         | 15         | 0.7500
5    | 15         | 10         | 0.6667
6    | 14         | 12         | 0.8571
7    | 19         | 16         | 0.8421
8    | 19         | 7          | 0.3684
9    | 14         | 5          | 0.3571
10   | 16         | 10         | 0.6250
11   | 19         | 7          | 0.3684
12   | 15         | 7          | 0.4667
13   | 16         | 12         | 0.7500
14   | 18         | 6          | 0.3333
15   | 20         | 19         | 0.9500
16   | 19         | 17         | 0.8947
17   | 13         | 11         | 0.8462
18   | 15         | 8          | 0.5333
19   | 19         | 9          | 0.4737
20   | 15         | 6          | 0.4000
21   | 16         | 12         | 0.7500
22   | 18         | 16         | 0.8889
23   | 19         | 16         | 0.8421
24   | 17         | 16         | 0.9412
25   | 19         | 16         | 0.8421
26   | 12         | 6          | 0.5000
27   | 16         | 11         | 0.6875
28   | 18         | 14         | 0.7778
29   | 16         | 2          | 0.1250
30   | 18         | 17         | 0.9444
31   | 13         | 11         | 0.8462
32   | 13         | 13         | 1.0000
33   | 13         | 11         | 0.8462
34   | 17         | 8          | 0.4706
35   | 14         | 11         | 0.7857
36   | 15         | 12         | 0.8000
37   | 13         | 8          | 0.6154
38   | 24         | 16         | 0.6667
39   | 21         | 15         | 0.7143
40   | 15         | 13         | 0.8667
41   | 18         | 7          | 0.3889
42   | 17         | 11         | 0.6471
43   | 17         | 8          | 0.4706
44   | 20         | 11         | 0.5500
45   | 20         | 17         | 0.8500
46   | 22         | 12         | 0.5455
47   | 17         | 11         | 0.6471
48   | 17         | 11         | 0.6471
49   | 14         | 4          | 0.2857
50   | 18         | 11         | 0.6111
51   | 22         | 8          | 0.3636
52   | 20         | 9          | 0.4500
53   | 19         | 14         | 0.7368
54   | 12         | 9          | 0.7500
55   | 16         | 4          | 0.2500
56   | 26         | 16         | 0.6154
57   | 17         | 12         | 0.7059
58   | 15         | 11         | 0.7333
59   | 16         | 4          | 0.2500
60   | 21         | 10         | 0.4762
61   | 11         | 4          | 0.3636
62   | 19         | 11         | 0.5789
63   | 18         | 9          | 0.5000
64   | 17         | 8          | 0.4706
65   | 13         | 11         | 0.8462
66   | 15         | 9          | 0.6000
67   | 24         | 18         | 0.7500
68   | 12         | 9          | 0.7500
69   | 14         | 8          | 0.5714
70   | 14         | 11         | 0.7857
71   | 18         | 16         | 0.8889
72   | 20         | 13         | 0.6500
73   | 16         | 14         | 0.8750
74   | 14         | 12         | 0.8571
75   | 19         | 13         | 0.6842
76   | 14         | 13         | 0.9286
77   | 14         | 12         | 0.8571
78   | 10         | 7          | 0.7000
79   | 20         | 15         | 0.7500
80   | 18         | 17         | 0.9444
81   | 11         | 7          | 0.6364
82   | 14         | 13         | 0.9286
83   | 17         | 12         | 0.7059
84   | 18         | 13         | 0.7222
85   | 20         | 10         | 0.5000
86   | 20         | 11         | 0.5500
87   | 19         | 13         | 0.6842
88   | 15         | 14         | 0.9333
89   | 19         | 14         | 0.7368
90   | 15         | 8          | 0.5333
91   | 13         | 4          | 0.3077
92   | 19         | 13         | 0.6842
93   | 20         | 15         | 0.7500
94   | 13         | 12         | 0.9231
95   | 17         | 16         | 0.9412
96   | 11         | 9          | 0.8182
97   | 24         | 7          | 0.2917
98   | 20         | 9          | 0.4500
99   | 16         | 11         | 0.6875
100  | 19         | 14         | 0.7368

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.6592
========================================
