Analysis for Model: Llama-3.1-8B-Instruct
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 10         | 10         | 1.0000
2    | 7          | 7          | 1.0000
3    | 13         | 13         | 1.0000
4    | 10         | 10         | 1.0000
5    | 8          | 8          | 1.0000
6    | 7          | 7          | 1.0000
7    | 10         | 10         | 1.0000
8    | 13         | 13         | 1.0000
9    | 10         | 10         | 1.0000
10   | 10         | 9          | 0.9000
11   | 9          | 8          | 0.8889
12   | 12         | 11         | 0.9167
13   | 8          | 8          | 1.0000
14   | 10         | 10         | 1.0000
15   | 11         | 11         | 1.0000
16   | 8          | 8          | 1.0000
17   | 11         | 11         | 1.0000
18   | 11         | 10         | 0.9091
19   | 12         | 12         | 1.0000
20   | 10         | 10         | 1.0000
21   | 14         | 11         | 0.7857
22   | 10         | 10         | 1.0000
23   | 12         | 12         | 1.0000
24   | 10         | 10         | 1.0000
25   | 12         | 10         | 0.8333
26   | 10         | 9          | 0.9000
27   | 8          | 8          | 1.0000
28   | 10         | 9          | 0.9000
29   | 11         | 11         | 1.0000
30   | 11         | 11         | 1.0000
31   | 12         | 10         | 0.8333
32   | 10         | 10         | 1.0000
33   | 9          | 9          | 1.0000
34   | 8          | 8          | 1.0000
35   | 8          | 8          | 1.0000
36   | 9          | 9          | 1.0000
37   | 7          | 7          | 1.0000
38   | 12         | 12         | 1.0000
39   | 12         | 12         | 1.0000
40   | 9          | 9          | 1.0000
41   | 10         | 9          | 0.9000
42   | 14         | 14         | 1.0000
43   | 13         | 10         | 0.7692
44   | 9          | 9          | 1.0000
45   | 14         | 14         | 1.0000
46   | 12         | 11         | 0.9167
47   | 9          | 9          | 1.0000
48   | 9          | 9          | 1.0000
49   | 7          | 7          | 1.0000
50   | 12         | 12         | 1.0000
51   | 14         | 14         | 1.0000
52   | 7          | 7          | 1.0000
53   | 8          | 8          | 1.0000
54   | 12         | 10         | 0.8333
55   | 12         | 10         | 0.8333
56   | 11         | 11         | 1.0000
57   | 10         | 10         | 1.0000
58   | 12         | 12         | 1.0000
59   | 11         | 11         | 1.0000
60   | 16         | 16         | 1.0000
61   | 12         | 10         | 0.8333
62   | 13         | 13         | 1.0000
63   | 11         | 11         | 1.0000
64   | 12         | 12         | 1.0000
65   | 7          | 7          | 1.0000
66   | 12         | 11         | 0.9167
67   | 14         | 14         | 1.0000
68   | 8          | 7          | 0.8750
69   | 7          | 7          | 1.0000
70   | 11         | 9          | 0.8182
71   | 11         | 9          | 0.8182
72   | 17         | 17         | 1.0000
73   | 11         | 11         | 1.0000
74   | 5          | 5          | 1.0000
75   | 9          | 9          | 1.0000
76   | 9          | 9          | 1.0000
77   | 8          | 7          | 0.8750
78   | 7          | 7          | 1.0000
79   | 9          | 9          | 1.0000
80   | 10         | 10         | 1.0000
81   | 5          | 5          | 1.0000
82   | 10         | 10         | 1.0000
83   | 8          | 8          | 1.0000
84   | 9          | 9          | 1.0000
85   | 12         | 12         | 1.0000
86   | 11         | 10         | 0.9091
87   | 10         | 10         | 1.0000
88   | 9          | 9          | 1.0000
89   | 10         | 10         | 1.0000
90   | 10         | 10         | 1.0000
91   | 9          | 9          | 1.0000
92   | 9          | 9          | 1.0000
93   | 11         | 11         | 1.0000
94   | 12         | 11         | 0.9167
95   | 9          | 9          | 1.0000
96   | 7          | 7          | 1.0000
97   | 18         | 18         | 1.0000
98   | 15         | 14         | 0.9333
99   | 8          | 8          | 1.0000
100  | 10         | 9          | 0.9000

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.9692
========================================
