Analysis for Model: Qwen-3-14B-PostTrain
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 18         | 12         | 0.6667
2    | 13         | 9          | 0.6923
3    | 21         | 17         | 0.8095
4    | 16         | 10         | 0.6250
5    | 14         | 13         | 0.9286
6    | 11         | 8          | 0.7273
7    | 16         | 14         | 0.8750
8    | 15         | 12         | 0.8000
9    | 13         | 9          | 0.6923
10   | 15         | 12         | 0.8000
11   | 17         | 12         | 0.7059
12   | 15         | 13         | 0.8667
13   | 11         | 9          | 0.8182
14   | 16         | 13         | 0.8125
15   | 16         | 13         | 0.8125
16   | 17         | 16         | 0.9412
17   | 18         | 12         | 0.6667
18   | 14         | 8          | 0.5714
19   | 21         | 14         | 0.6667
20   | 14         | 9          | 0.6429
21   | 14         | 11         | 0.7857
22   | 15         | 14         | 0.9333
23   | 17         | 16         | 0.9412
24   | 15         | 12         | 0.8000
25   | 17         | 13         | 0.7647
26   | 12         | 6          | 0.5000
27   | 14         | 9          | 0.6429
28   | 15         | 11         | 0.7333
29   | 17         | 9          | 0.5294
30   | 18         | 15         | 0.8333
31   | 14         | 11         | 0.7857
32   | 18         | 11         | 0.6111
33   | 14         | 13         | 0.9286
34   | 20         | 14         | 0.7000
35   | 11         | 9          | 0.8182
36   | 14         | 12         | 0.8571
37   | 14         | 10         | 0.7143
38   | 20         | 17         | 0.8500
39   | 19         | 15         | 0.7895
40   | 17         | 5          | 0.2941
41   | 13         | 9          | 0.6923
42   | 17         | 14         | 0.8235
43   | 13         | 12         | 0.9231
44   | 23         | 10         | 0.4348
45   | 21         | 12         | 0.5714
46   | 18         | 13         | 0.7222
47   | 19         | 10         | 0.5263
48   | 15         | 12         | 0.8000
49   | 12         | 9          | 0.7500
50   | 18         | 11         | 0.6111
51   | 20         | 13         | 0.6500
52   | 16         | 9          | 0.5625
53   | 16         | 13         | 0.8125
54   | 12         | 9          | 0.7500
55   | 15         | 8          | 0.5333
56   | 21         | 14         | 0.6667
57   | 17         | 12         | 0.7059
58   | 13         | 12         | 0.9231
59   | 15         | 10         | 0.6667
60   | 23         | 16         | 0.6957
61   | 11         | 5          | 0.4545
62   | 25         | 12         | 0.4800
63   | 17         | 12         | 0.7059
64   | 15         | 8          | 0.5333
65   | 11         | 8          | 0.7273
66   | 14         | 12         | 0.8571
67   | 19         | 14         | 0.7368
68   | 11         | 9          | 0.8182
69   | 14         | 8          | 0.5714
70   | 22         | 9          | 0.4091
71   | 17         | 12         | 0.7059
72   | 17         | 11         | 0.6471
73   | 17         | 14         | 0.8235
74   | 12         | 7          | 0.5833
75   | 17         | 9          | 0.5294
76   | 17         | 12         | 0.7059
77   | 12         | 8          | 0.6667
78   | 9          | 7          | 0.7778
79   | 15         | 13         | 0.8667
80   | 19         | 13         | 0.6842
81   | 8          | 6          | 0.7500
82   | 15         | 13         | 0.8667
83   | 13         | 10         | 0.7692
84   | 15         | 10         | 0.6667
85   | 18         | 10         | 0.5556
86   | 17         | 9          | 0.5294
87   | 14         | 13         | 0.9286
88   | 13         | 11         | 0.8462
89   | 15         | 13         | 0.8667
90   | 13         | 11         | 0.8462
91   | 9          | 7          | 0.7778
92   | 16         | 9          | 0.5625
93   | 19         | 10         | 0.5263
94   | 16         | 12         | 0.7500
95   | 16         | 12         | 0.7500
96   | 9          | 7          | 0.7778
97   | 20         | 14         | 0.7000
98   | 22         | 17         | 0.7727
99   | 13         | 6          | 0.4615
100  | 17         | 12         | 0.7059

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.7145
========================================
