Analysis for Model: llm
ID   | Total Rels | Clear Rels | Clarity Score
--------------------------------------------------
1    | 14         | 13         | 0.9286
2    | 11         | 11         | 1.0000
3    | 19         | 18         | 0.9474
4    | 12         | 12         | 1.0000
5    | 13         | 13         | 1.0000
6    | 10         | 10         | 1.0000
7    | 15         | 15         | 1.0000
8    | 14         | 14         | 1.0000
9    | 9          | 9          | 1.0000
10   | 13         | 12         | 0.9231
11   | 12         | 12         | 1.0000
12   | 13         | 13         | 1.0000
13   | 13         | 13         | 1.0000
14   | 13         | 13         | 1.0000
15   | 16         | 16         | 1.0000
16   | 16         | 16         | 1.0000
17   | 12         | 12         | 1.0000
18   | 11         | 11         | 1.0000
19   | 16         | 15         | 0.9375
20   | 13         | 13         | 1.0000
21   | 16         | 16         | 1.0000
22   | 15         | 15         | 1.0000
23   | 17         | 16         | 0.9412
24   | 14         | 14         | 1.0000
25   | 16         | 15         | 0.9375
26   | 10         | 10         | 1.0000
27   | 11         | 11         | 1.0000
28   | 13         | 12         | 0.9231
29   | 12         | 12         | 1.0000
30   | 17         | 17         | 1.0000
31   | 11         | 10         | 0.9091
32   | 14         | 14         | 1.0000
33   | 13         | 13         | 1.0000
34   | 16         | 16         | 1.0000
35   | 11         | 11         | 1.0000
36   | 13         | 11         | 0.8462
37   | 13         | 13         | 1.0000
38   | 17         | 16         | 0.9412
39   | 17         | 16         | 0.9412
40   | 13         | 13         | 1.0000
41   | 11         | 11         | 1.0000
42   | 19         | 19         | 1.0000
43   | 14         | 14         | 1.0000
44   | 14         | 14         | 1.0000
45   | 13         | 13         | 1.0000
46   | 16         | 16         | 1.0000
47   | 13         | 13         | 1.0000
48   | 13         | 13         | 1.0000
49   | 10         | 10         | 1.0000
50   | 15         | 15         | 1.0000
51   | 15         | 15         | 1.0000
52   | 15         | 15         | 1.0000
53   | 17         | 17         | 1.0000
54   | 12         | 11         | 0.9167
55   | 10         | 10         | 1.0000
56   | 18         | 18         | 1.0000
57   | 15         | 15         | 1.0000
58   | 12         | 12         | 1.0000
59   | 10         | 9          | 0.9000
60   | 19         | 17         | 0.8947
61   | 7          | 7          | 1.0000
62   | 16         | 16         | 1.0000
63   | 18         | 18         | 1.0000
64   | 11         | 11         | 1.0000
65   | 10         | 10         | 1.0000
66   | 12         | 12         | 1.0000
67   | 19         | 19         | 1.0000
68   | 9          | 8          | 0.8889
69   | 11         | 11         | 1.0000
70   | 12         | 10         | 0.8333
71   | 15         | 14         | 0.9333
72   | 18         | 17         | 0.9444
73   | 15         | 15         | 1.0000
74   | 11         | 11         | 1.0000
75   | 13         | 12         | 0.9231
76   | 13         | 12         | 0.9231
77   | 10         | 10         | 1.0000
78   | 9          | 8          | 0.8889
79   | 14         | 13         | 0.9286
80   | 17         | 14         | 0.8235
81   | 7          | 7          | 1.0000
82   | 14         | 14         | 1.0000
83   | 13         | 12         | 0.9231
84   | 14         | 14         | 1.0000
85   | 17         | 15         | 0.8824
86   | 14         | 14         | 1.0000
87   | 13         | 13         | 1.0000
88   | 12         | 12         | 1.0000
89   | 13         | 13         | 1.0000
90   | 10         | 10         | 1.0000
91   | 11         | 11         | 1.0000
92   | 13         | 12         | 0.9231
93   | 16         | 16         | 1.0000
94   | 11         | 11         | 1.0000
95   | 14         | 14         | 1.0000
96   | 7          | 7          | 1.0000
97   | 17         | 17         | 1.0000
98   | 16         | 16         | 1.0000
99   | 12         | 12         | 1.0000
100  | 14         | 11         | 0.7857

========================================
📊 Relation Clarity 분석 결과
- 분석 샘플 수: 100
- 평균 Relation Clarity: 0.9749
========================================
